Date, MaxTemperature, MinTemperature, Precipitation
1/1/2000,90,77,0.32
1/2/2000,92,79,0
1/3/2000,91,77,0.25
1/4/2000,93,78, T
1/5/2000,93,80,0
1/6/2000,91,78,0.12
1/7/2000,84,76,0.97
1/8/2000,91,76, T
1/9/2000,92,78,0.48
1/10/2000,91,77, T
1/11/2000,89,76,0.57
1/12/2000,89,76,0
1/13/2000,91,80, T
1/14/2000,93,78,0.05
1/15/2000,91,77,0
1/16/2000,91,78,0
1/17/2000,89,78,1.68
1/18/2000,92,80,0.18
1/19/2000,88,78,0.87
1/20/2000,86,78,2.3
1/21/2000,87,78,2.05
1/22/2000,83,77,2.06
1/23/2000,91,76,0
1/24/2000,92,79, T
1/25/2000,89,79,0.03
1/26/2000,92,77,0.45
1/27/2000,89,77,0.04
1/28/2000,89,78,0.18
1/29/2000,89,78,0.41
1/30/2000,89,77,0.11
1/31/2000,89,78,0.31
2/1/2000,90,77,0.06
2/2/2000,90,81,0.03
2/3/2000,90,81,0.07
2/4/2000,91,80,0.02
2/5/2000,88,78,0.01
2/6/2000,90,80,0.4
2/7/2000,90,77, T
2/8/2000,89,76, T
2/9/2000,87,76,0.09
2/10/2000,90,76,0.92
2/11/2000,91,75,1.66
2/12/2000,91,76,0.4
2/13/2000,90,76,0.25
2/14/2000,89,79,0.02
2/15/2000,89,80,0.02
2/16/2000,90,79,0.05
2/17/2000,91,77,0.26
2/18/2000,91,80, T
2/19/2000,90,77,0.41
2/20/2000,91,80,0.22
2/21/2000,90,83,0.06
2/22/2000,89,77,0.73
2/23/2000,93,77,0
2/24/2000,87,78,0.2
2/25/2000,85,79,0.07
2/26/2000,88,77,0.6
2/27/2000,84,77,6.99
2/28/2000,90,80, T
2/29/2000,90,76, T
3/1/2000,89,76,0.17
3/2/2000,89,77,0.29
3/3/2000,90,77,0.23
3/4/2000,88,77,0.45
3/5/2000,88,76,2.99
3/6/2000,84,77,5.19
3/7/2000,91,78,0.74
3/8/2000,90,77,0.54
3/9/2000,86,77,1.49
3/10/2000,90,77, T
3/11/2000,89,77,0.31
3/12/2000,89,76,0.47
3/13/2000,89,81,0.07
3/14/2000,90,78,0.06
3/15/2000,90,76,0.24
3/16/2000,92,77,0.09
3/17/2000,90,77,0.03
3/18/2000,90,77,0.04
3/19/2000,89,78,0.01
3/20/2000,89,77,0.89
3/21/2000,91,76, T
3/22/2000,92,80,0.05
3/23/2000,83,75,1.29
3/24/2000,89,75,0.73
3/25/2000,90,76,1.41
3/26/2000,89,75,0
3/27/2000,90,78,0.07
3/28/2000,90,78,0.32
3/29/2000,90,77,0
3/30/2000,88,77,0.05
3/31/2000,90,77,0.02
4/1/2000,90,78,0.62
4/2/2000,90,76,0
4/3/2000,89,78,0
4/4/2000,92,78,0.07
4/5/2000,90,77,0.72
4/6/2000,86,78,0.32
4/7/2000,90,77,0.21
4/8/2000,87,77,0.18
4/9/2000,90,78,0.33
4/10/2000,90,78,0.04
4/11/2000,89,77,0.69
4/12/2000,88,76,1.08
4/13/2000,88,77,0.05
4/14/2000,89,79,0.29
4/15/2000,90,81,0.04
4/16/2000,90,78,0.02
4/17/2000,91,77, T
4/18/2000,91,79,0
4/19/2000,90,77, T
4/20/2000,89,79,0.05
4/21/2000,90,82,0.07
4/22/2000,90,83, T
4/23/2000,90,84, T
4/24/2000,91,79,0.05
4/25/2000,91,76,0
4/26/2000,89,74,0
4/27/2000,90,76,0
4/28/2000,90,76,0.02
4/29/2000,88,75, T
4/30/2000,93,77,0
5/1/2000,87,77,0.47
5/2/2000,89,76,0.02
5/3/2000,87,76,0.34
5/4/2000,93,75,0.11
5/5/2000,92,77,0
5/6/2000,90,77,0
5/7/2000,87,75,0.43
5/8/2000,88,75,0.44
5/9/2000,87,78,0.01
5/10/2000,86,76,0.06
5/11/2000,90,76,0.4
5/12/2000,85,75,1.1
5/13/2000,87,75,1.22
5/14/2000,85,76,2.14
5/15/2000,88,76,0.14
5/16/2000,87,78,0.05
5/17/2000,86,77,0.36
5/18/2000,86,79,0
5/19/2000,87,80,0
5/20/2000,87,78,0.12
5/21/2000,86,82,0
5/22/2000,87,79,0.22
5/23/2000,87,82,0
5/24/2000,84,76,0.8
5/25/2000,88,76,0.01
5/26/2000,82,74,4.03
5/27/2000,89,73,0.04
5/28/2000,85,75,0.84
5/29/2000,84,75, T
5/30/2000,85,76, T
5/31/2000,83,72,0.05
6/1/2000,85,80, T
6/2/2000,84,78, T
6/3/2000,86,81,0
6/4/2000,86,80, T
6/5/2000,85,79,0.25
6/6/2000,84,77,1.47
6/7/2000,87,78,0.26
6/8/2000,85,78,0.57
6/9/2000,86,77,0.11
6/10/2000,84,78,0.23
6/11/2000,83,76,0.92
6/12/2000,86,75,0.03
6/13/2000,85,79,0.32
6/14/2000,85,79,0.11
6/15/2000,85,78,0.08
6/16/2000,86,79,0.06
6/17/2000,86,80, T
6/18/2000,87,80, T
6/19/2000,86,77,0.06
6/20/2000,84,82, T
6/21/2000,84,76,0.38
6/22/2000,84,75,0.12
6/23/2000,85,76,0.21
6/24/2000,81,76,1.03
6/25/2000,83,77,0.16
6/26/2000,84,78,0
6/27/2000,86,77, T
6/28/2000,86,75,1.02
6/29/2000,87,76,0.51
6/30/2000,85,73,0.03
7/1/2000,85,74,0.02
7/2/2000,85,75,0
7/3/2000,84,77,0
7/4/2000,85,70,0
7/5/2000,85,78,0
7/6/2000,83,74,2.51
7/7/2000,89,75, T
7/8/2000,89,74, T
7/9/2000,84,73,0
7/10/2000,84,72,0.17
7/11/2000,82,75,0.21
7/12/2000,82,76,0
7/13/2000,83,76,0
7/14/2000,84,73,0
7/15/2000,85,71,0
7/16/2000,89,72,0
7/17/2000,85,73,0
7/18/2000,86,79, T
7/19/2000,84,79,0.04
7/20/2000,86,79, T
7/21/2000,84,74, T
7/22/2000,85,78,0.12
7/23/2000,84,76, T
7/24/2000,84,76,0.07
7/25/2000,88,74,0.02
7/26/2000,80,77,0.02
7/27/2000,83,75,0.09
7/28/2000,85,79,0.01
7/29/2000,85,79,0
7/30/2000,85,76, T
7/31/2000,86,73,0.06
8/1/2000,87,75,0.06
8/2/2000,86,71,0
8/3/2000,86,70,0
8/4/2000,88,77,0.01
8/5/2000,87,75,0.01
8/6/2000,87,81,0
8/7/2000,87,80,0.05
8/8/2000,87,80,0
8/9/2000,87,80,0
8/10/2000,87,80,0
8/11/2000,86,78,0.22
8/12/2000,87,76,0.19
8/13/2000,86,79,0.16
8/14/2000,85,78,0.41
8/15/2000,82,77,0.21
8/16/2000,84,76,0.53
8/17/2000,85,75,0.26
8/18/2000,86,75,0
8/19/2000,87,75,0.08
8/20/2000,86,80,0.01
8/21/2000,85,76,0.18
8/22/2000,87,80, T
8/23/2000,87,73,0
8/24/2000,86,80,0
8/25/2000,84,78,0.18
8/26/2000,81,77,0.1
8/27/2000,86,77, T
8/28/2000,87,79,0
8/29/2000,86,79,0.22
8/30/2000,87,78,0.03
8/31/2000,88,76,0.3
9/1/2000,88,77,0
9/2/2000,87,76,0
9/3/2000,87,76,0.04
9/4/2000,87,75,0.39
9/5/2000,87,81,0
9/6/2000,87,80,0
9/7/2000,87,81,0
9/8/2000,88,78,0.03
9/9/2000,83,75,1.43
9/10/2000,87,79,0.11
9/11/2000,87,79,0.03
9/12/2000,87,78,0.15
9/13/2000,87,80, T
9/14/2000,87,80, T
9/15/2000,87,80,0.01
9/16/2000,86,79,0.28
9/17/2000,87,81,0
9/18/2000,89,77,0
