"STATION","NAME","DATE","ACMH","ACSH","AWND","DAEV","EVAP","FMTM","MDEV","MNPN","MXPN","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG","WT01","WT03","WT05","WT13","WT14","WT16","WV20"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-01","   88","   88","7.61",,"0.35"," 0952",,,," 0940","0.32",,"0.0","0.0",,"90","77","  415","   20",,"   50",,"16.1",,"23.0",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-02","   63","   75","7.61",,"0.06"," 1351",,,," 1344","0.00",,"0.0","0.0",,"92","79","  559","  330",,"  320",,"12.1",,"15.0",,,,,,,
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-03","   63","   63","5.59",,"0.61"," 1653",,,," 1433","0.25",,"0.0","0.0",,"91","77","  371","  320",,"  270",,"8.9",,"15.0",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-04","   63","   75","6.71",,," 1553",,,," 1559","0.00",,"0.0","0.0",,"93","78","  483","  320",,"  320",,"13.0",,"16.1",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-05","   75","   75","5.59",,"0.28"," 1054",,,," 1117","0.00",,"0.0","0.0",,"93","80","  566","   20",,"  320",,"12.1",,"17.0",,,,,,,
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-06","   88","  100","6.04",,"0.42"," 0854",,,," 1225","0.12",,"0.0","0.0",,"91","78","   81","  320",,"  320",,"12.1",,"17.0",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-07","  100","  100","5.59",,"0.59"," 1351",,,," 0100","0.97",,"0.0","0.0",,"84","76","    0","  330",,"  320",,"14.1",,"19.9",,"    1",,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-08","  100","  100","6.04",,," 1759",,,," 1752","0.00",,"0.0","0.0",,"91","76","   79","   10",,"  360",,"12.1",,"16.1",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-09","   75","   88","6.71",,"0.20"," 1653",,,," 1726","0.48",,"0.0","0.0",,"92","78","  257","   50",,"  320",,"14.1",,"17.9",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-10","   38","   38","9.40",,"0.15"," 1554",,,," 1138","0.00",,"0.0","0.0",,"91","77","  707","   30",,"   50",,"14.1",,"19.9",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-11","   88","   88","10.07",,"0.70"," 0810",,,," 0757","0.57",,"0.0","0.0",,"89","76","  280","   50",,"   90",,"21.9",,"31.1",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-12","   38","   38","8.95",,," 2355",,,," 2325","0.00",,"0.0","0.0",,"89","76","  688","  100",,"   90",,"13.0",,"15.0",,,,,,,
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-13","   38","   38","11.18",,"0.14"," 0551",,,," 0552","0.00",,"0.0","0.0",,"91","80","  642","   60",,"   50",,"16.1",,"17.9",,,,,,"    1",
