"STATION","NAME","DATE","ACMH","ACSH","AWND","DAEV","EVAP","FMTM","MDEV","MNPN","MXPN","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG","WT01","WT03","WT05","WT13","WT14","WT16","WV20"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-14","   50","   50","5.59",,"0.35"," 1059",,,," 1109","0.05",,"0.0","0.0",,"93","78","  385","   80",,"   90",,"17.0",,"19.9",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-15","   25","   25","6.04",,"0.19"," 1854",,,," 1900","0.00",,"0.0","0.0",,"91","77","  736","  160",,"  180",,"8.9",,"13.0",,,,,,,
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-16","   38","   38","5.37",,"0.30"," 1455",,,," 1117","0.00",,"0.0","0.0",,"91","78","  596","   90",,"  140",,"8.9",,"10.1",,,,,,,
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-17","  100","  100","6.71",,," 1905",,,," 1906","1.68",,"0.0","0.0",,"89","78","   39","   70",,"   90",,"21.0",,"23.0",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-18","   88","   88","7.38",,," 0053",,,," 0516","0.18",,"0.0","0.0",,"92","80","  271","  100",,"   50",,"13.0",,"19.9",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-19","   88","  100","14.09",,"0.02"," 1355",,,," 1243","0.87",,"0.0","0.0",,"88","78","  325","  310",,"  320",,"30.0",,"47.0",,"    1",,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-20","  100","  100","20.58",,," 0252",,,," 1049","2.30",,"0.0","0.0",,"86","78","   11","   30",,"  360",,"638.0",,"38.0",,"    1",,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-21","  100","  100","13.42",,," 1132",,,," 1132","2.05",,"0.0","0.0",,"87","78","    0","   30",,"   50",,"25.1",,"31.1",,"    1",,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-22","  100","  100","9.84",,," 0252",,,," 1649","2.06",,"0.0","0.0",,"83","77","    0","  310",,"  320",,"17.0",,"23.9",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-23","   88","   88","7.38",,," 1453",,,," 1215","0.00",,"0.0","0.0",,"91","76","  625","   50",,"   50",,"14.1",,"17.9",,,,,,,
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-24","   88","   88","10.07",,"0.38"," 0751",,,," 1129","0.00",,"0.0","0.0",,"92","79","  399","   30",,"  360",,"17.9",,"25.1",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-25","   88","   88","6.71",,"0.21"," 1553",,,," 1509","0.03",,"0.0","0.0",,"89","79","  237","   50",,"   50",,"13.0",,"17.0",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-26","   50","   50","8.05",,"0.19"," 0956",,,," 1712","0.45",,"0.0","0.0",,"92","77","  565","   30",,"  360",,"15.0",,"17.0",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-27","   63","   63","8.50",,"0.34"," 1459",,,," 1436","0.04",,"0.0","0.0",,"89","77","  459","   80",,"   90",,"17.0",,"21.9",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-28","   75","   63","6.93",,"0.33"," 1550",,,," 1732","0.18",,"0.0","0.0",,"89","78","  568","   90",,"   50",,"10.1",,"13.0",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-29","   75","   75","7.38",,," 1654",,,," 1218","0.41",,"0.0","0.0",,"89","78","  476","   80",,"   90",,"12.1",,"19.9",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-30","   50","   63","9.84",,," 1453",,,," 2118","0.11",,"0.0","0.0",,"89","77","  509","   90",,"   50",,"17.9",,"21.9",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-01-31","   63","   75","10.96",,"0.41"," 1152",,,," 1420","0.31",,"0.0","0.0",,"89","78","  431","   40",,"   50",,"19.9",,"25.9",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-01","   50","   63","8.50",,"0.10"," 1258",,,," 1923","0.06",,"0.0","0.0",,"90","77","  611","   80","   45","   50",,"16.1","30.0","30.0",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-02","   38","   38","11.18",,"0.06"," 1859",,,," 2039","0.03",,"0.0","0.0",,"90","81","  607","  100","    0","   90",,"16.1","25.3","25.1",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-03","   63","   63","10.51",,"0.38"," 2252",,,," 2222","0.07",,"0.0","0.0",,"90","81","  565","   50","    0","   90",,"17.0","26.4","25.9",,"    1",,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-04","   88","   88","12.30",,"0.04"," 2158",,,," 2134","0.02",,"0.0","0.0",,"91","80","  321","   70","    0","   90",,"17.9","24.2","23.9",,"    1",,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-05","   88","  100","12.53",,"0.43"," 1953",,,," 0356","0.01",,"0.0","0.0",,"88","78","  184","   70","    0","   90",,"21.0","23.0","23.0",,"    1",,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-06","   75","   88","10.29",,"0.30"," 2057",,,," 1523","0.40",,"0.0","0.0",,"90","80","  334","  110","    0","  360",,"17.9","33.3","33.1",,"    1",,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-07","   63","   63","8.05",,"0.26"," 1255",,,," 1226","0.00",,"0.0","0.0",,"90","77","  519","   70","   45","   50",,"14.1","17.2","17.0",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-08","   75","   88","7.61",,"0.00"," 1156",,,," 2335","0.00",,"0.0","0.0",,"89","76","  231","   90","   45","   50",,"14.1","16.1","16.1",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-09","   88","   88","6.49",,"0.05"," 1755",,,," 1744","0.09",,"0.0","0.0",,"87","76","   62","   60","    0","   90",,"15.0","21.9","21.9",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-10","   88","  100","7.61",,," 1356",,,," 1348","0.92",,"0.0","0.0",,"90","76","  257","   60","   45","   50",,"16.1","26.4","25.9",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-11","  100","  100","12.30",,," 1153",,,," 1220","1.66",,"0.0","0.0",,"91","75","  152","  350","    0","  360",,"21.0","28.9","29.1",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-12","   88","  100","10.29",,," 1458",,,," 2137","0.40",,"0.0","0.0",,"91","76","  254","   40","    0","  360",,"16.1","28.9","29.1",,"    1",,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-13","   75","   63","11.41",,," 1559",,,," 1601","0.25",,"0.0","0.0",,"90","76","  585","   10","    0","  360",,"19.9","31.1","31.1",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-14","   75","   63","10.51",,"0.17"," 2058",,,," 2055","0.02",,"0.0","0.0",,"89","79","  655","   60","   45","   50",,"19.9","21.9","21.9",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-15","   75","   75","10.07",,"0.30"," 1953",,,," 1943","0.02",,"0.0","0.0",,"89","80","  570","  120","   45","   50",,"16.1","20.8","21.0",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-16","   75","   88","9.40",,"0.39"," 1058",,,," 1056","0.05",,"0.0","0.0",,"90","79","  519","   50","   45","   50",,"21.9","23.0","23.0",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-17","   88","   75","8.50",,"0.22"," 1753",,,," 1753","0.26",,"0.0","0.0",,"91","77","  523","  350","    0","  360",,"15.0","19.5","19.9",,"    1",,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-18","   88","   88","8.05",,," 1359",,,," 1243","0.00",,"0.0","0.0",,"91","80","  299","   60","   45","   50",,"13.0","16.1","16.1",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-19","   63","   63","10.51","    2",," 1056","0.3",,," 0252","0.41",,"0.0","0.0",,"90","77","  682","   70","    0","  360",,"16.1","20.8","21.0",,"    1",,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-20","   63","   50","14.54",,"0.19"," 2359",,,," 1446","0.22",,"0.0","0.0",,"91","80","  485","   90","   45","   50",,"17.0","26.4","25.9",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-21","   63","   63","13.65",,," 1055",,,," 0744","0.06",,"0.0","0.0",,"90","83","  442","   80","    0","   90",,"17.0","21.9","21.9",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-22","  100","   88","9.40","    2",," 0332","0.3",,," 0333","0.73",,"0.0","0.0",,"89","77","  415","   60","    0","  360",,"25.9","38.0","38.0",,"    1",,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-23","   63","   63","6.04",,"0.42"," 1259",,,," 1157","0.00",,"0.0","0.0",,"93","77","  487","   60","   45","   50",,"10.1","13.9","14.1",,,,,,,"    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-24","   88","  100","6.04",,," 1553",,,," 0937","0.20",,"0.0","0.0",,"87","78","  175","  160","   45","   50",,"8.9","15.0","15.0",,"    1",,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-25","  100","  100","9.40",,," 2354",,,," 2358","0.07",,"0.0","0.0",,"85","79","   43","  130","  135","  140",,"15.0","28.9","29.1",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-26","  100","  100","6.04","    2",," 2354","0.3",,," 0003","0.60",,"0.0","0.0",,"88","77","  281","  130","  135","  140",,"15.0","28.9","29.1",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-27","  100","  100","15.43",,," 1459",,,," 1451","6.99",,"0.0","0.0",,"84","77","    0","  320","  315","  320",,"30.0","43.6","44.1",,"    1",,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-28","   88","   88","8.50",,," 0154",,,," 0201","0.00",,"0.0","0.0",,"90","80","  409","  330","  315","  320",,"14.1","21.9","21.9",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-02-29","   75","   88","4.70",,," 1155",,,," 1222","0.00",,"0.0","0.0",,"90","76","  382","   60","   45","   50",,"15.0","15.0","15.0",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-01","   75","   88","5.37",,"0.17"," 1458",,,," 0123","0.17",,"0.0","0.0",,"89","76","  534","   80","   45","   50",,"10.1","15.0","15.0",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-02","   75","   88","6.49",,"0.14"," 1258",,,," 0824","0.29",,"0.0","0.0",,"89","77","  401","   70","  180","  180",,"15.0","21.9","21.9",,"    1",,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-03","  100","  100","6.71",,"0.01"," 1759",,,," 1757","0.23",,"0.0","0.0",,"90","77","  515","  250","  270","  270",,"13.0","15.0","15.0",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-04","  100","  100","5.59",,"0.56"," 0655",,,," 0653","0.45",,"0.0","0.0",,"88","77","  158","  170","  180","  180",,"8.9","11.4","12.1",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-05","  100","  100","6.26",,," 2353",,,," 2350","2.99",,"0.0","0.0",,"88","76","  225","  300","  315","  320",,"16.1","30.0","30.0",,"    1",,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-06","  100","  100","15.88",,," 1816",,,," 0922","5.19",,"0.0","0.0",,"84","77","    0","  330","    0","  360",,"23.0","47.2","47.0",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-07","  100","  100","9.84",,"0.14"," 0258",,,," 0235","0.74",,"0.0","0.0",,"91","78","  150","  360","    0","  360",,"19.9","31.1","31.1",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-08","  100","  100","5.59",,," 1555",,,," 0547","0.54",,"0.0","0.0",,"90","77","  146","   50","  270","  270",,"12.1","16.1","16.1",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-09","  100","  100","9.40",,," 2158",,,," 2148","1.49",,"0.0","0.0",,"86","77","   28","  320","  315","  320",,"19.9","26.4","25.9",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-10","  100","   88","11.41",,," 1253",,,," 1248","0.00",,"0.0","0.0",,"90","77","  271","  340","    0","  360",,"16.1","23.0","23.0",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-11","   75","   88","8.95",,"0.18"," 0430",,,," 0425","0.31",,"0.0","0.0",,"89","77","  529","   50","   45","   50",,"16.1","28.9","29.1",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-12","   75","   75","10.74",,"0.34"," 0724",,,," 0724","0.47",,"0.0","0.0",,"89","76","  365","  110","    0","   90",,"25.9","31.1","31.1",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-13","   63","   63","12.53",,," 1553",,,," 1202","0.07",,"0.0","0.0",,"89","81","  583","   70","    0","   90",,"16.1","31.1","31.1",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-14","   50","   50","6.71",,"0.21"," 1157",,,," 1213","0.06",,"0.0","0.0",,"90","78","  503","   90","    0","   90",,"13.0","15.0","15.0",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-15","   38","   50","4.25",,"0.50"," 1055",,,," 1514","0.24",,"0.0","0.0",,"90","76","  444","  110","  315","  320",,"12.1","11.4","12.1",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-16","   75","   75","6.71",,"0.05"," 1359",,,," 1643","0.09",,"0.0","0.0",,"92","77","  460","  340","  315","  320",,"12.1","17.2","17.0",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-17","   63","   63","5.82",,"0.00"," 1554",,,," 1416","0.03",,"0.0","0.0",,"90","77","  298","   80","    0","   90",,"13.0","13.9","14.1",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-18","   63","   75","8.50",,"0.30"," 1257",,,," 1744","0.04",,"0.0","0.0",,"90","77","  257","  140","    0","   90",,"15.0","17.2","17.0",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-19","   75","   75","6.71",,"0.11"," 1656",,,," 0222","0.01",,"0.0","0.0",,"89","78","  544","   50","    0","  360",,"13.0","23.0","23.0",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-20","   88","   88","4.70",,"0.18"," 2156",,,," 2242","0.89",,"0.0","0.0",,"89","77","  417","   30","  225","  240",,"10.1","10.3","10.1",,"    1",,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-21","   38","   50","4.70",,"0.15"," 1158",,,," 1242","0.00",,"0.0","0.0",,"91","76","  562","  320","  315","  320",,"10.1","13.9","14.1",,"    1",,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-22","   63","   63","6.93",,"0.29"," 1452",,,," 0758","0.05",,"0.0","0.0",,"92","80","  562","  320","  315","  320",,"12.1","13.9","14.1",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-23","   88","  100","7.61",,," 0559",,,," 1040","1.29",,"0.0","0.0",,"83","75","    0","  320","  180","  180",,"15.0","21.9","21.9",,"    1",,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-24","   75","   75","4.92",,," 1054",,,," 1116","0.73",,"0.0","0.0",,"89","75","  238","  230","  225","  240",,"12.1","15.0","15.0",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-25","   38","   50","5.82",,," 0853",,,," 0924","1.41",,"0.0","0.0",,"90","76","  454","  320","  180","  180",,"16.1","21.9","21.9",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-26","   25","   25","6.93",,," 2357",,,," 2335","0.00",,"0.0","0.0",,"89","75","  702","  110","    0","   90",,"12.1","13.9","14.1",,,,,,,
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-27","   63","   63","10.07",,"0.07"," 2250",,,," 0232","0.07",,"0.0","0.0",,"90","78","  450","  100","    0","   90",,"14.1","19.5","19.9",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-28","   88","  100","9.17",,," 1655",,,," 1151","0.32",,"0.0","0.0",,"90","78","  469","   70","  315","  320",,"15.0","24.2","23.9",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-29","   88","   75","6.93",,," 1153",,,," 1149","0.00",,"0.0","0.0",,"90","77","  307","   70","   45","   50",,"12.1","12.8","13.0",,,,,,,"    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-30","   88","   88","4.70",,"0.20"," 1153",,,," 1200","0.05",,"0.0","0.0",,"88","77","  452","   80","    0","   90",,"14.1","12.8","14.1",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-03-31","   88","  100","7.16",,"0.12"," 1254",,,," 1427","0.02",,"0.0","0.0",,"90","77","  513","   90","    0","   90",,"12.1","11.4","12.1",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-04-01","   75","   75","7.16",,"0.28"," 1050",,,," 1057","0.62",,"0.0","0.0",,"90","78","  556","   50","   45","   50",,"15.0","26.4","25.9",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-04-02","   50","   50","7.38",,"0.21"," 1358",,,," 1411","0.00",,"0.0","0.0",,"90","76","  536","   50","   45","   50",,"13.0","15.0","15.0",,,,,,,
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-04-03","   50","   63","7.16",,"0.24"," 1557",,,," 1435","0.00",,"0.0","0.0",,"89","78","  287","   60","    0","   90",,"13.0","15.0","15.0",,,,,,,
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-04-04","   88","   88","5.59",,"0.07"," 1355",,,," 1550","0.07",,"0.0","0.0",,"92","78","  260","   20","   45","   50",,"13.0","18.3","17.9",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-04-05","   88","  100","5.82",,"0.39"," 1259",,,," 0428","0.72",,"0.0","0.0",,"90","77","  127","  350","   45","   50",,"12.1","17.2","17.0",,,,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-04-06","  100","  100","5.14",,"0.05"," 1553",,,," 1604","0.32",,"0.0","0.0",,"86","78","   70","  120","    0","   90",,"12.1","12.8","13.0",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-04-07","   88","   88","8.28",,"0.00"," 1758",,,," 2121","0.21",,"0.0","0.0",,"90","77","  274","   60","   45","   50",,"14.1","19.5","19.9",,"    1",,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-04-08","   88","  100","7.61",,"0.20"," 2055",,,," 2040","0.18",,"0.0","0.0",,"87","77","   64","  140","  135","  140",,"17.0","17.2","17.0",,,,,,"    1",
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-04-09","  100","  100","8.50",,"0.00"," 0127",,,," 0418","0.33",,"0.0","0.0",,"90","78","    0","  190","   45","   50",,"14.1","21.9","21.9",,"    1",,,,"    1","    1"
"AQW00061705","PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ","2000-04-10","  100","  100","8.50",,"0.25"," 0727",,,," 0721","0.04",,"0.0","0.0",,"90","78","    0","  350","    0","  360",,"19.9","26.4","25.9",,,,,,"    1","    1"
