DATE,AWND,PRCP,TMAX,TMIN,RH_pct,AWND_filled,RH_pct_filled
2000-03-07,9.84,0.74,91.0,78.0,81.12,9.84,81.12
2000-03-08,5.59,0.54,90.0,77.0,87.65217391304348,5.59,87.65217391304348
2000-03-09,9.4,1.49,86.0,77.0,84.95833333333333,9.4,84.95833333333333
2000-03-10,11.41,0.0,90.0,77.0,73.66666666666667,11.41,73.66666666666667
2000-03-11,8.95,0.31,89.0,77.0,80.04166666666667,8.95,80.04166666666667
2000-03-12,10.74,0.47,89.0,76.0,82.875,10.74,82.875
2000-03-13,12.53,0.07,89.0,81.0,78.91304347826087,12.53,78.91304347826087
2000-03-14,6.71,0.06,90.0,78.0,83.17391304347827,6.71,83.17391304347827
2000-03-15,4.25,0.24,90.0,76.0,84.0,4.25,84.0
2000-03-16,6.71,0.09,92.0,77.0,83.21739130434783,6.71,83.21739130434783
2000-03-17,5.82,0.03,90.0,77.0,83.0,5.82,83.0
2000-03-18,8.5,0.04,90.0,77.0,83.45833333333333,8.5,83.45833333333333
2000-03-19,6.71,0.01,89.0,78.0,82.95454545454545,6.71,82.95454545454545
2000-03-20,4.7,0.89,89.0,77.0,85.8,4.7,85.8
2000-03-21,4.7,0.0,91.0,76.0,82.27272727272727,4.7,82.27272727272727
2000-03-22,6.93,0.05,92.0,80.0,77.625,6.93,77.625
2000-03-23,7.61,1.29,83.0,75.0,86.45833333333333,7.61,86.45833333333333
2000-03-24,4.92,0.73,89.0,75.0,89.6086956521739,4.92,89.6086956521739
2000-03-25,5.82,1.41,90.0,76.0,84.73913043478261,5.82,84.73913043478261
2000-03-26,6.93,0.0,89.0,75.0,80.3913043478261,6.93,80.3913043478261
2000-03-27,10.07,0.07,90.0,78.0,77.25,10.07,77.25
2000-03-28,9.17,0.32,90.0,78.0,81.45833333333333,9.17,81.45833333333333
2000-03-29,6.93,0.0,90.0,77.0,82.69565217391305,6.93,82.69565217391305
2000-03-30,4.7,0.05,88.0,77.0,83.66666666666667,4.7,83.66666666666667
2000-03-31,7.16,0.02,90.0,77.0,83.66666666666667,7.16,83.66666666666667
2000-04-01,7.16,0.62,90.0,78.0,83.53846153846153,7.16,83.53846153846153
2000-04-02,7.38,0.0,90.0,76.0,80.43478260869566,7.38,80.43478260869566
2000-04-03,7.16,0.0,89.0,78.0,83.41666666666667,7.16,83.41666666666667
2000-04-04,5.59,0.07,92.0,78.0,83.83333333333333,5.59,83.83333333333333
2000-04-05,5.82,0.72,90.0,77.0,86.83333333333333,5.82,86.83333333333333
2000-04-06,5.14,0.32,86.0,78.0,91.125,5.14,91.125
2000-04-07,8.28,0.21,90.0,77.0,81.66666666666667,8.28,81.66666666666667
2000-04-08,7.61,0.18,87.0,77.0,85.95833333333333,7.61,85.95833333333333
2000-04-09,8.5,0.33,90.0,78.0,84.25,8.5,84.25
2000-04-10,8.5,0.04,90.0,78.0,78.68181818181819,8.5,78.68181818181819
2000-04-11,7.61,0.69,89.0,77.0,87.8695652173913,7.61,87.8695652173913
2000-04-12,6.93,1.08,88.0,76.0,87.83333333333333,6.93,87.83333333333333
2000-04-13,10.07,0.05,88.0,77.0,85.17391304347827,10.07,85.17391304347827
2000-04-14,10.07,0.29,89.0,79.0,83.4,10.07,83.4
2000-04-15,10.29,0.04,90.0,81.0,81.0,10.29,81.0
2000-04-16,4.7,0.02,90.0,78.0,87.29166666666667,4.7,87.29166666666667
2000-04-17,4.25,0.0,91.0,77.0,87.66666666666667,4.25,87.66666666666667
2000-04-18,7.83,0.0,91.0,79.0,82.08333333333333,7.83,82.08333333333333
2000-04-19,9.84,0.0,90.0,77.0,84.08333333333333,9.84,84.08333333333333
2000-04-20,12.3,0.05,89.0,79.0,80.25,12.3,80.25
2000-04-21,13.87,0.07,90.0,82.0,80.25,13.87,80.25
2000-04-22,16.78,0.0,90.0,83.0,77.69565217391305,16.78,77.69565217391305
2000-04-23,17.0,0.0,90.0,84.0,72.45833333333333,17.0,72.45833333333333
2000-04-24,14.99,0.05,91.0,79.0,74.29166666666667,14.99,74.29166666666667
2000-04-25,7.38,0.0,91.0,76.0,77.83333333333333,7.38,77.83333333333333
2000-04-26,4.92,0.0,89.0,74.0,84.56521739130434,4.92,84.56521739130434
2000-04-27,4.7,0.0,90.0,76.0,84.08333333333333,4.7,84.08333333333333
2000-04-28,4.92,0.02,90.0,76.0,85.08695652173913,4.92,85.08695652173913
2000-04-29,7.61,0.0,88.0,75.0,86.41666666666667,7.61,86.41666666666667
2000-04-30,4.92,0.0,93.0,77.0,84.21739130434783,4.92,84.21739130434783
2000-05-01,2.46,0.47,87.0,77.0,91.33333333333333,2.46,91.33333333333333
2000-05-02,6.49,0.02,89.0,76.0,90.33333333333333,6.49,90.33333333333333
2000-05-03,5.14,0.34,87.0,76.0,93.17391304347827,5.14,93.17391304347827
2000-05-04,7.61,0.11,93.0,75.0,89.0,7.61,89.0
2000-05-05,5.82,0.0,92.0,77.0,87.125,5.82,87.125
2000-05-06,3.8,0.0,90.0,77.0,86.54166666666667,3.8,86.54166666666667
2000-05-07,5.82,0.43,87.0,75.0,88.1304347826087,5.82,88.1304347826087
2000-05-08,7.61,0.44,88.0,75.0,87.91304347826087,7.61,87.91304347826087
2000-05-09,14.76,0.01,87.0,78.0,87.69565217391305,14.76,87.69565217391305
2000-05-10,15.66,0.06,86.0,76.0,88.1304347826087,15.66,88.1304347826087
2000-05-11,17.9,0.4,90.0,76.0,86.875,17.9,86.875
2000-05-12,16.33,1.1,85.0,75.0,90.22727272727273,16.33,90.22727272727273
2000-05-13,10.96,1.22,87.0,75.0,91.0,10.96,91.0
2000-05-14,13.2,2.14,85.0,76.0,90.0,13.2,90.0
2000-05-15,12.53,0.14,88.0,76.0,89.56521739130434,12.53,89.56521739130434
2000-05-16,15.21,0.05,87.0,78.0,88.33333333333333,15.21,88.33333333333333
2000-05-17,11.86,0.36,86.0,77.0,91.08695652173913,11.86,91.08695652173913
2000-05-18,14.54,0.0,86.0,79.0,89.0909090909091,14.54,89.0909090909091
2000-05-19,14.99,0.0,87.0,80.0,84.04347826086956,14.99,84.04347826086956
2000-05-20,16.33,0.12,87.0,78.0,78.43478260869566,16.33,78.43478260869566
2000-05-21,17.22,0.0,86.0,82.0,69.71428571428571,17.22,69.71428571428571
2000-05-22,12.75,0.22,87.0,79.0,76.1304347826087,12.75,76.1304347826087
2000-05-23,14.09,0.0,87.0,82.0,79.41666666666667,14.09,79.41666666666667
2000-05-24,8.95,0.8,84.0,76.0,86.66666666666667,8.95,86.66666666666667
2000-05-25,9.4,0.01,88.0,76.0,78.6086956521739,9.4,78.6086956521739
2000-05-26,10.29,4.03,82.0,74.0,86.79166666666667,10.29,86.79166666666667
2000-05-27,8.72,0.04,89.0,73.0,80.58333333333333,8.72,80.58333333333333
2000-05-28,8.28,0.84,85.0,75.0,91.56,8.28,91.56
2000-05-29,13.42,0.0,84.0,75.0,73.41666666666667,13.42,73.41666666666667
2000-05-30,14.09,0.0,85.0,76.0,64.73913043478261,14.09,64.73913043478261
2000-05-31,17.67,0.05,83.0,72.0,72.82608695652173,17.67,72.82608695652173
2000-06-01,17.9,0.0,85.0,80.0,65.82608695652173,17.9,65.82608695652173
2000-06-02,18.34,0.0,84.0,78.0,70.25,18.34,70.25
2000-06-03,15.43,0.0,86.0,81.0,67.33333333333333,15.43,67.33333333333333
2000-06-04,12.3,0.0,86.0,80.0,71.16666666666667,12.3,71.16666666666667
2000-06-05,12.97,0.25,85.0,79.0,78.91666666666667,12.97,78.91666666666667
